snapshot_id,snapshot_type,source,model,metadata_field,observed_value,description,source_level,discovery_value,reasoning
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,reference_value,Dashed horizontal reference line at approximately 31%; label not identifiable,"A benchmark, average, threshold, or other reference value displayed for comparison.",snapshot,medium,Reference values help explain how individual categories compare with a benchmark.
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,source_citation,Source: World Bank,The cited source or producer of the data shown in the snapshot.,both,high,Source attribution supports provenance tracking and trust assessment.
027_Jordan-Emergency-Food-Security-Project_figure_001.png,figure,refugee,gpt-5.5,visualization_type,Vertical bar chart with a horizontal dashed reference line,The analytical display form used to present the data.,snapshot,medium,"Visualization type helps users understand whether the snapshot contains categorical comparisons, trends, or other data structures."
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,figure_title,Figure 2: Enrollment pyramid and share of illiterate pupils,Title or caption identifying the figure's main subject.,snapshot,high,The title provides the most direct semantic description for search and retrieval.
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,panel_titles,"A. Enrollment pyramid, thousand (2017); B. Percent of Grade 3 pupils who could not read a single word of a short text in Arabic (2014 or the latest available)",Titles of subfigures or panels within a multi-part figure.,snapshot,high,Panel titles reveal distinct indicators contained within the same figure.
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,visualization_type,Enrollment pyramid and vertical bar chart,General chart or visualization form used to present the data.,snapshot,medium,Visualization type supports analytical reuse and filtering by chart form.
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,indicator_name,Enrollment by sex and grade; Percent of Grade 3 pupils who could not read a single word of a short text in Arabic,Name of the quantitative indicator or measure represented in the figure.,snapshot,high,Indicators are central to discovering the substantive data contained in figures.
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,indicator_definition,Share of Grade 3 pupils unable to read a single word of a short text in Arabic,Textual definition or interpretation of the measured indicator.,snapshot,high,"Indicator definitions improve precision when searching for literacy, learning, or education outcome measures."
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,unit_of_measure,Thousand; percent,Measurement units used for quantitative values in the figure.,snapshot,high,Units are essential for interpreting and reusing quantitative figure data.
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,time_period,2017; 2014 or the latest available,Year or period to which the displayed data refer.,snapshot,high,Time period enables temporal filtering and comparison across figures.
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,geographic_scope,Sudan; Jordan; Iraq; Morocco; Egypt; Yemen,Countries or geographic areas represented in the figure data.,both,high,Geographic coverage is critical for country-based discovery and comparison.
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,comparison_geographies,"Jordan, Iraq, Morocco, Egypt, Yemen, Sudan",Geographic entities used as comparators within the figure.,snapshot,high,Comparator countries add discovery value beyond the document-level country metadata.
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,population_group,Pupils; Grade 3 pupils; male and female pupils,Population or subgroup to which the indicators apply.,snapshot,high,Population groups help users find figures about specific learners or demographic groups.
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,education_level,Basic 1–8; Secondary 1–3; Grade 3,"Education grade, level, or stage represented in the figure.",snapshot,high,"Education level supports targeted discovery of basic, secondary, and grade-specific education data."
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,disaggregation_dimension,Sex; grade or education level; country,Dimensions by which the data are broken down or compared.,snapshot,high,Disaggregation dimensions are important for equity analysis and structured reuse.
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,category_labels,Male; Female; Basic 1; Basic 2; Basic 3; Basic 4; Basic 5; Basic 6; Basic 7; Basic 8; Secondary 1; Secondary 2; Secondary 3; Jordan; Iraq; Morocco; Egypt; Yemen; Sudan,"Text labels used for categories, groups, rows, bars, or axes in the figure.",snapshot,medium,Category labels expose searchable concepts that may not appear in document-level metadata.
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,source_citation,"Education Sector Analysis, 2018; http://www.earlygradereadingbarometer.org/",Data source or citation shown for the figure or its panels.,snapshot,high,Source citations provide provenance for the figure's underlying data.
054_Sudan-Basic-Education-Emergency-Support-Project_figure_001.png,figure,refugee,gpt-5.5,sector,Education; Basic Education; Primary Education,Broad sector or domain to which the figure content belongs.,both,medium,Sector metadata links the snapshot to education-focused discovery while confirming document-level classification.
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,figure_title,شكل 1: مصادر القروض في الأردن (2013) / Figure 1: Sources of loans in Jordan (2013),The explicit title or caption identifying the figure's subject.,snapshot,high,The title captures the core subject of the figure and is essential for search and cataloging.
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,indicator_name,مصادر القروض / Sources of loans,The main indicator or measured concept represented in the figure.,snapshot,high,The indicator enables discovery of figures about credit sources and borrowing behavior.
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,geographic_scope,الأردن / Jordan,"The country, region, or place to which the figure data apply.",both,high,Geographic scope supports filtering and comparison across countries or regions.
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,time_period,2013,The reference year or period represented by the figure data.,snapshot,high,Time period is critical for temporal filtering and analytical reuse.
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,unit_of_measure,نسبة مئوية / Percentage,The measurement unit used for the data values shown in the figure.,snapshot,high,Units are necessary to interpret and compare the numerical values correctly.
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,visualization_type,Pie chart,The chart form used to encode the data.,snapshot,medium,Visualization type helps users understand the analytical structure of the snapshot.
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,category_dimension,Loan source type,The categorical dimension used to divide the measured indicator.,snapshot,high,The category dimension makes the figure reusable for analysis of distribution by source type.
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,category_labels,مؤسسة مالية رسمية / Formal financial institution; الأسرة أو الأصدقاء / Family or friends; جهة قرض خاصة غير رسمية / Private informal lending source,The category names or legend labels used in the figure.,snapshot,high,Category labels expose figure-level content that may not be represented in document metadata.
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,category_values,Formal financial institution: 77%; Family or friends: 6%; Private informal lending source: 17%,The numeric values associated with each category in the figure.,snapshot,high,Category values support direct analytical reuse of the data contained in the chart.
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,data_source_name,دراسة استقصائية لمناخ الاستثمار / Investment Climate Survey,The named source from which the figure data were derived.,snapshot,high,Data source information supports provenance tracking and assessment of reliability.
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,source_publication_year,2012,The year associated with the cited data source.,snapshot,medium,Source year helps distinguish the data reference period from the publication or figure reference year.
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,source_citation,المصدر: دراسة استقصائية لمناخ الاستثمار (2012). / Source: Investment Climate Survey (2012).,The full source note or citation shown with the figure.,snapshot,high,"A full citation improves provenance, verification, and reuse of figure data."
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,topic_domain,Access to finance; loans; credit sources,The broad thematic domain represented by the figure.,both,medium,Topic domain links the figure to broader financial-sector discovery facets beyond the document title.
134_PAD7340ARABIC00n0220020140Arabic01_figure_000.png,figure,refugee,gpt-5.5,document_context,"Jordan - Enhancing Governance and Strengthening the Regulatory and Institutional Framework for Micro, Small, and Medium Enterprise (MSME) Development Project",The source document or project context in which the figure appears.,document,medium,Document context helps relate the figure to the surrounding MSME finance project record.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,figure_title,"ANNEX 3: Map: Geographical distribution of the refugee population across Djibouti, including settlements and Djibouti.",Title or caption that identifies the subject of the figure.,snapshot,high,The title concisely describes the map’s thematic focus and geographic scope.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,visualization_type,Thematic map with proportional pie symbols,General type of visualization used to present the information.,snapshot,medium,Knowing that the snapshot is a map supports discovery and analytical reuse of geospatial content.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,geographic_scope,Djibouti,Primary country or area covered by the figure or table.,both,high,Geographic scope is essential for filtering and retrieving location-specific evidence.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,subnational_geographic_units,Obock; Tadjourah; Djibouti; Arta; Ali Sabieh; Dikhil,Administrative or subnational areas shown or referenced in the snapshot.,snapshot,high,Subnational place names improve discovery beyond the document-level country metadata.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,mapped_locations,Markazi; Obock; Djibouti; Hol-Hol; Ali-Addeh,"Specific settlements, cities, camps, or point locations represented in a map or spatial figure.",snapshot,high,Named locations make the map discoverable for settlement- and locality-level queries.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,population_group,Refugees and asylum-seekers,Population group or demographic group represented by the data.,snapshot,high,Population group captures the central subject of the map and supports thematic retrieval.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,indicator_name,Geographical distribution of refugee and asylum-seeker population by location and status,Name or concise description of the measured concept represented in the snapshot.,snapshot,high,The indicator summarizes what the mapped values measure for analytical reuse.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,category_labels,Refugees; Asylum seekers,Categories used to disaggregate the values shown in the figure or table.,snapshot,high,Category labels enable users to find figures with specific population-status breakdowns.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,reference_date,As of 15 Jan 2025,Date or time point to which the data values refer.,snapshot,high,A reference date is needed to interpret and compare population figures over time.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,unit_of_measure,"People or individuals, inferred from refugee and asylum-seeker counts",Measurement unit used for numeric values in the snapshot.,snapshot,high,The unit clarifies how the map’s numeric values should be interpreted.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,total_value,"32,643 refugees and asylum-seekers; 23,989 refugees; 8,654 asylum-seekers",Overall total or summary values reported in the snapshot.,snapshot,high,Summary totals support retrieval and comparison of snapshots containing headline statistics.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,location_category_values,"Obock area: 2,319 and 210; Djibouti: 4,227 and 888; Hol-Hol: 4,394 and 3,625; Ali-Addeh/Arta area: 13,049 and 3,931",Numeric values associated with specific locations and categories in a spatial visualization.,snapshot,high,Location-level values are often unavailable in document metadata and are important for data reuse.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,location_type,"Refugee, formal settlement; Refugee, individual accommodation in communities","Type of facility, settlement, or accommodation represented by map symbols.",snapshot,medium,Location type helps distinguish camps or settlements from community-based accommodation.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,source_citation,"Sources: UNCS, UNHCR; Author: UNHCR - RD Nairobi",Source organization or citation for the data shown in the snapshot.,snapshot,high,Source citation is critical for provenance tracking and assessing reliability.
004_BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112_figure_000.png,figure,refugee,gpt-5.5,document_context,Djibouti - Integrated Community Resilience Project; Project Appraisal Document; World Bank,Document-level context that links the snapshot to its parent report or project.,document,medium,Document context helps users connect the map to the broader project and institutional source.
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,geographic_scope,Uganda,Country or geographic area covered by the data in the snapshot.,both,high,"Geographic scope is essential for country-level search, filtering, and comparison."
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,data_domain,Prices and government finance; Trade; Balance of payments; External debt and resource flows,Broad subject areas represented by the indicators in the snapshot.,snapshot,high,The snapshot covers macroeconomic domains that differ substantially from the transport-focused document metadata.
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,indicator_names,"Consumer prices; Implicit GDP deflator; Current revenue; Current budget balance; Overall surplus/deficit; Total exports; Total imports; Export price index; Import price index; Terms of trade; Exports of goods and services; Imports of goods and services; Resource balance; Net income; Net current transfers; Current account balance; Reserves including gold; Conversion rate; Total debt outstanding and disbursed; Total debt service; Official grants; Official creditors; Private creditors; Foreign direct investment; Portfolio equity; World Bank program commitments, disbursements, repayments, flows, interest payments, and net transfers",Names of statistical indicators or measures reported in the snapshot.,snapshot,high,Indicator names enable retrieval of specific economic and financial measures embedded in the table.
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,time_period,1976; 1985; 1990–1996; 1995; 1996,Years or year ranges covered by the tabular and chart data.,snapshot,high,Time coverage supports temporal filtering and comparison across economic snapshots.
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,unit_of_measure,% change; % of GDP; millions US$; 1987=100 index; local/US$; %,Measurement units used for indicators in the snapshot.,snapshot,high,Units are necessary for interpreting and reusing numerical values correctly.
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,monetary_unit,US$; millions US$,Currency denomination used for monetary indicators.,snapshot,high,Currency metadata supports analytical reuse and comparison of financial indicators.
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,row_dimension,"Economic and financial indicators, including domestic prices, government finance, trade items, balance of payments items, debt categories, resource flows, and World Bank program items",Primary dimension represented by table rows.,snapshot,high,Row dimension clarifies how the table is organized and what categories can be searched.
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,column_dimension,"Years: 1976, 1985, 1995, 1996",Primary dimension represented by table columns.,snapshot,high,Column dimension identifies the temporal structure of the tabular data.
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,chart_titles,"Inflation (%); Export and import levels (mill. US$); Current account balance to GDP ratio (%); Composition of total debt, 1995 (mill. US$)",Titles or captions of embedded charts within the snapshot.,snapshot,high,Chart titles expose additional figure-level content that may not be captured by table headings alone.
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,visualization_type,"Statistical table with embedded line chart, bar charts, and pie chart",General visualization forms used to present the data.,snapshot,medium,"Visualization type helps users distinguish tabular, trend, comparison, and composition views."
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,series_labels,GDP def.; CPI; Exports; Imports; A - IBRD; B - IDA; C - IMF; D - Other multilateral; E - Bilateral; F - Private; G - Short-term,Legend labels or plotted series names used in the embedded charts.,snapshot,high,Series labels identify comparable variables and categories represented visually.
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,index_base_period,1987=100,Base period used for index-valued indicators.,snapshot,medium,"Base-period metadata is needed to interpret export price, import price, and terms-of-trade indices."
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,data_source,Development Economics,Source or producing unit cited within the snapshot.,snapshot,medium,Snapshot-level source information supports provenance tracking distinct from document-level producer metadata.
202_multi0page_figure_000.png,figure,refugee,gpt-5.5,data_as_of_date,8/28/97,Date printed on or associated with the snapshot data page.,snapshot,medium,A data as-of date helps distinguish the statistical reference point from the document publication date.
200_multi-page_table_004.png,table,refugee,gpt-5.5,table_title,Cost-Effectiveness Analysis Summary,Title or caption identifying the subject of the table.,snapshot,high,The title directly summarizes the analytical content and supports targeted retrieval of project cost-effectiveness tables.
200_multi-page_table_004.png,table,refugee,gpt-5.5,project_name,"Croatia: Reconstruction Project for Eastern Slavonia, Baranja and Western Srijem",Name of the project or operation to which the table relates.,both,high,Linking the table to the specific project enables discovery and comparison across project-level analytical tables.
200_multi-page_table_004.png,table,refugee,gpt-5.5,geographic_scope,"Croatia; Eastern Slavonia, Baranja and Western Srijem","Country, region, or locality covered by the table.",both,high,Geographic scope is essential for filtering and retrieving tables relevant to a specific country or subnational area.
200_multi-page_table_004.png,table,refugee,gpt-5.5,analysis_type,Cost-effectiveness analysis,Type of analytical assessment summarized in the table.,snapshot,high,"Analysis type helps users find tables containing economic, financial, fiscal, or other evaluative analyses."
200_multi-page_table_004.png,table,refugee,gpt-5.5,time_reference,Base Year 1998,"Reference year, base year, or time period used for the table’s calculations.",snapshot,high,The base year is critical for interpreting present-value estimates and comparing results across analyses.
200_multi-page_table_004.png,table,refugee,gpt-5.5,table_section_identifier,Annex 4,"Named document section, annex, appendix, or chapter in which the table appears.",snapshot,medium,Section identifiers provide useful intellectual context for locating related analytical material within documents.
200_multi-page_table_004.png,table,refugee,gpt-5.5,value_measure,Present Value of Flows; Fiscal Impact,Main quantitative measure or measurement concept represented by the table columns.,snapshot,high,Capturing the measure represented in the table enables retrieval of present-value and fiscal-impact information.
200_multi-page_table_004.png,table,refugee,gpt-5.5,analysis_perspective,Economic Analysis; Financial Analysis; Fiscal Impact,Analytical perspective or viewpoint used to organize measures in the table.,snapshot,high,"Analytical perspectives support comparison of economic, financial, and fiscal results across project tables."
200_multi-page_table_004.png,table,refugee,gpt-5.5,indicator_name,Benefits; Costs; Net Benefits; IRR; PV of net fiscal outlays,"Named indicators, metrics, or calculated quantities reported in the table.",snapshot,high,Indicator names expose the substantive data contained in the table for search and analytical reuse.
200_multi-page_table_004.png,table,refugee,gpt-5.5,row_dimension,Cost-benefit metric categories,Semantic dimension represented by the table rows.,snapshot,high,Row dimensions help describe how the table is structured conceptually and make tabular data more reusable.
200_multi-page_table_004.png,table,refugee,gpt-5.5,column_dimension,Analytical perspective and fiscal impact category,Semantic dimension represented by the table columns.,snapshot,high,Column dimensions clarify how values are grouped and compared within the table.
200_multi-page_table_004.png,table,refugee,gpt-5.5,unit_of_measure,million; percent,Units used for reported numeric values.,snapshot,high,Units are necessary to interpret monetary values and percentage indicators such as IRR.
200_multi-page_table_004.png,table,refugee,gpt-5.5,currency,$; exact dollar currency not identifiable from this snapshot,Currency symbol or currency denomination used for monetary values.,snapshot,medium,Currency metadata improves interpretability of monetary tables even when the exact dollar currency is not specified.
200_multi-page_table_004.png,table,refugee,gpt-5.5,reported_values,$47.0 million; $82.3 million; $32.5 million; $32.3 million; $14.5 million; $50.0 million; 16.2%; $24.5 million,Quantitative values explicitly reported in the table.,snapshot,high,Reported values make the table discoverable for users seeking specific quantitative evidence.
200_multi-page_table_004.png,table,refugee,gpt-5.5,document_type,Project Appraisal Document,Type of source document containing the table.,document,medium,Document type helps users distinguish appraisal-stage analytical tables from other project or evaluation documents.
200_multi-page_table_003.png,table,refugee,gpt-5.5,table_title,Estimated Project Costs,Title or heading that identifies the subject of the table.,snapshot,high,The table title directly captures the table’s main analytical content for retrieval.
200_multi-page_table_003.png,table,refugee,gpt-5.5,project_name,"Croatia: Reconstruction Project for Eastern Slavonia, Baranja and Western Srijem",Name of the project or operation to which the table applies.,both,high,Linking the table to the specific project supports discovery of project-level financial information.
200_multi-page_table_003.png,table,refugee,gpt-5.5,geographic_scope,Croatia; Eastern Slavonia; Baranja; Western Srijem; Vinkovci,Country or subnational places covered by the table.,both,high,Geographic scope enables filtering and retrieval of cost information by country and affected areas.
200_multi-page_table_003.png,table,refugee,gpt-5.5,table_subject,Estimated project costs for reconstruction activities,Concise semantic description of what the table is about.,snapshot,high,A subject field helps users find tables by their substantive analytical purpose rather than document title alone.
200_multi-page_table_003.png,table,refugee,gpt-5.5,cost_estimate_stage,Estimated,"Indicates whether the cost figures are estimated, actual, baseline, revised, or otherwise staged.",snapshot,high,Cost estimate status is important for interpreting and comparing financial tables.
200_multi-page_table_003.png,table,refugee,gpt-5.5,unit_of_measure,US $Million; percent,Measurement units used for numeric values in the table.,snapshot,high,Units are essential for analytical reuse and correct interpretation of values.
200_multi-page_table_003.png,table,refugee,gpt-5.5,currency,US dollars,Currency denomination used for monetary values.,snapshot,high,Currency metadata supports comparison and aggregation of financial data across tables.
200_multi-page_table_003.png,table,refugee,gpt-5.5,row_dimension,"Project components, subcomponents, subtotals, contingencies, and total project costs",Primary entities or categories represented by table rows.,snapshot,high,Row dimensions expose the categorical structure needed to search and reuse the table data.
200_multi-page_table_003.png,table,refugee,gpt-5.5,column_dimension,Local cost; Foreign cost; Total cost; % Foreign Exchange; % Total Base Costs,Measures or categories represented by table columns.,snapshot,high,Column dimensions identify the financial measures available in the table.
200_multi-page_table_003.png,table,refugee,gpt-5.5,project_component_categories,Wastewater Management Component; Flood Control and Drainage Component; Demining Component; Nature Protection Component,Major project components used as cost categories in the table.,snapshot,high,Component categories allow discovery of cost tables by sectoral or operational activity.
200_multi-page_table_003.png,table,refugee,gpt-5.5,subcomponent_categories,Vinkovci Wastewater Treatment Plant; Vinkovci Collection System Extension; Eastern Slavonia Area; Baranja Area; De-mining (Eastern Slavonia); De-mining (Baranja),Lower-level activities or areas itemized beneath major project components.,snapshot,medium,Subcomponent labels provide granular access to specific investments and locations within the table.
200_multi-page_table_003.png,table,refugee,gpt-5.5,cost_breakdown_type,Local and foreign cost breakdown; baseline costs; physical contingencies; price contingencies,Type of financial decomposition used to organize cost values.,snapshot,high,Breakdown type helps users distinguish tables by how costs are analytically decomposed.
200_multi-page_table_003.png,table,refugee,gpt-5.5,summary_total_value,Total project costs: 61.1 US $Million; total baseline costs: 47.8 US $Million,Key aggregate totals reported in the table.,snapshot,medium,Capturing headline totals improves retrieval and quick assessment of the table’s financial scale.
200_multi-page_table_003.png,table,refugee,gpt-5.5,project_identifier,P048983,Unique identifier for the project associated with the table.,document,medium,Project identifiers support linking the table to related project records and documents.
200_multi-page_table_003.png,table,refugee,gpt-5.5,source_citation,Not identifiable from this snapshot,Citation or source note identifying where the table data originated.,snapshot,medium,Source citation is valuable for provenance tracking even though no explicit citation is visible here.
054_Sudan-Basic-Education-Emergency-Support-Project_table_004.png,table,refugee,gpt-5.5,table_title,Team,Title or heading identifying the table.,snapshot,high,The title is essential for distinguishing this staffing table from other tables in the same document.
054_Sudan-Basic-Education-Emergency-Support-Project_table_004.png,table,refugee,gpt-5.5,table_subject,"Project team staffing, skills, effort, travel, and location requirements (inferred from table contents)",Concise semantic topic of the table.,snapshot,high,A subject field improves retrieval when the visible title is brief or generic.
054_Sudan-Basic-Education-Emergency-Support-Project_table_004.png,table,refugee,gpt-5.5,row_dimension,Skills Needed,Primary dimension used to organize table rows.,snapshot,high,The row dimension clarifies that rows represent staff roles or required skills.
054_Sudan-Basic-Education-Emergency-Support-Project_table_004.png,table,refugee,gpt-5.5,column_dimension,Number of Staff Weeks Per Year; Number of Trips; Comments,Major column dimensions or attributes represented in the table.,snapshot,high,Column dimensions expose the main variables available for analysis and discovery.
054_Sudan-Basic-Education-Emergency-Support-Project_table_004.png,table,refugee,gpt-5.5,role_or_skill_categories,Task Team Leader; Education Specialist; Education Economist/Data Specialist; Operations Officer; FM Specialist; Procurement Specialist; Social Development Specialist; Environmental Specialist,"Named staff roles, expertise areas, or skill categories listed in the table.",snapshot,high,Role categories support searching for operational staffing needs and specialist expertise.
054_Sudan-Basic-Education-Emergency-Support-Project_table_004.png,table,refugee,gpt-5.5,indicator_name,Number of Staff Weeks Per Year; Number of Trips,Quantitative or operational measures reported in the table.,snapshot,high,Indicator names identify the measurable concepts captured by the table.
054_Sudan-Basic-Education-Emergency-Support-Project_table_004.png,table,refugee,gpt-5.5,unit_of_measure,Staff weeks per year; trips,Measurement units associated with numeric or operational values.,snapshot,high,Units are necessary for interpreting and reusing the table’s quantitative information.
054_Sudan-Basic-Education-Emergency-Support-Project_table_004.png,table,refugee,gpt-5.5,time_period,Per year,Temporal reference period for the reported measure.,snapshot,medium,The time period clarifies that staff-week requirements are annual estimates.
054_Sudan-Basic-Education-Emergency-Support-Project_table_004.png,table,refugee,gpt-5.5,staffing_effort_by_role,Task Team Leader: 30; Education Specialist: 10; Education Economist/Data Specialist: 10; Operations Officer: 10; FM Specialist: 6; Procurement Specialist: 5; Social Development Specialist: 4; Environmental Specialist: 4 staff weeks per year,Mapping of staff roles or skills to estimated level of effort.,snapshot,high,Role-level effort allocations enable comparison of staffing intensity across projects or functions.
054_Sudan-Basic-Education-Emergency-Support-Project_table_004.png,table,refugee,gpt-5.5,travel_requirement,Field trips as required,Travel expectation or trip requirement associated with staff roles.,snapshot,medium,Travel requirements help users discover operational support and supervision arrangements.
